Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,423,31.2,12:31:12 AM,423
1:00:00 AM,1369,31.2,1:31:12 AM,1369
2:00:00 AM,2315,31.2,2:31:12 AM,2315
3:00:00 AM,3261,31.2,3:31:12 AM,3261
4:00:00 AM,4207,31.2,4:31:12 AM,4207
5:00:00 AM,5153,31.2,5:31:12 AM,5153
6:00:00 AM,6099,31.2,6:31:12 AM,6099
7:00:00 AM,7045,31.2,7:31:12 AM,7045
8:00:00 AM,7991,31.2,8:31:12 AM,7991
9:00:00 AM,8937,31.2,9:31:12 AM,8937
10:00:00 AM,9883,31.2,10:31:12 AM,9883
11:00:00 AM,10829,31.2,11:31:12 AM,10829
12:00:00 PM,11775,31.2,12:31:12 PM,11775
1:00:00 PM,12721,31.2,1:31:12 PM,12721
2:00:00 PM,13667,31.2,2:31:12 PM,13667
3:00:00 PM,14613,31.2,3:31:12 PM,14613
4:00:00 PM,15559,31.2,4:31:12 PM,15559
5:00:00 PM,16505,31.2,5:31:12 PM,16505
6:00:00 PM,17451,31.2,6:31:12 PM,17451
7:00:00 PM,18397,31.2,7:31:12 PM,18397
8:00:00 PM,19343,31.2,8:31:12 PM,19343
9:00:00 PM,20289,31.2,9:31:12 PM,20289
10:00:00 PM,21235,31.2,10:31:12 PM,21235
11:00:00 PM,22181,31.2,11:31:12 PM,22181
