Departure Time,# of departures,Travel Time (min),Arrival Time,# of arrivals
12:00:00 AM,543,30.5,12:30:12 AM,543
1:00:00 AM,1489,30.5,1:30:12 AM,1489
2:00:00 AM,2435,30.5,2:30:12 AM,2435
3:00:00 AM,3381,30.5,3:30:12 AM,3381
4:00:00 AM,4327,30.5,4:30:12 AM,4327
5:00:00 AM,5273,30.5,5:30:12 AM,5273
6:00:00 AM,6219,30.5,6:30:12 AM,6219
7:00:00 AM,7165,30.5,7:30:12 AM,7165
8:00:00 AM,8111,30.5,8:30:12 AM,8111
9:00:00 AM,9057,30.5,9:30:12 AM,9057
10:00:00 AM,10003,30.5,10:30:12 AM,10003
11:00:00 AM,10949,30.5,11:30:12 AM,10949
12:00:00 PM,11895,30.5,12:30:12 PM,11895
1:00:00 PM,12841,30.5,1:30:12 PM,12841
2:00:00 PM,13787,30.5,2:30:12 PM,13787
3:00:00 PM,14733,30.5,3:30:12 PM,14733
4:00:00 PM,15679,30.5,4:30:12 PM,15679
5:00:00 PM,16625,30.5,5:30:12 PM,16625
6:00:00 PM,17571,30.5,6:30:12 PM,17571
7:00:00 PM,18517,30.5,7:30:12 PM,18517
8:00:00 PM,19463,30.5,8:30:12 PM,19463
9:00:00 PM,20409,30.5,9:30:12 PM,20409
10:00:00 PM,21355,30.5,10:30:12 PM,21355
11:00:00 PM,22301,30.5,11:30:12 PM,22301
